store_id,name_restaurant,slncatch,star,review,pop_score,price,address,access,link_detail
17000340,魚半 武家屋敷前店,金沢市 / 郷土料理、日本料理,3.12,15,8.650476813388117,5999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-15,https://tabelog.com/ishikawa/A1701/A170101/17000340/
17010522,和のダイニング 美味彩膳 大和香林坊店,金沢市 / 日本料理、とんかつ、うどん,3.17,21,9.798604577145861,1999.0,石川県金沢市香林坊1-1-1 大和香林坊店 8F,石川県金沢市香林坊1-1-1 大和香林坊店 8F,https://tabelog.com/ishikawa/A1701/A170101/17010522/
17011955,ジェラテリア リトルタ,金沢市 / ジェラート?アイスクリーム,3.4,61,14.032256909153311,999.0,石川県金沢市香林坊2-12-15,石川県金沢市香林坊2-12-15,https://tabelog.com/ishikawa/A1701/A170101/17011955/
17011344,ルロワと満月とワイン,金沢市 / 居酒屋,3.05,10,7.31358058203503,5999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊2-12-18 ZOINEビル 1F,https://tabelog.com/ishikawa/A1701/A170101/17011344/
17003871,銀座天一 金沢店,金沢市 / 天ぷら、天丼、日本料理,3.28,43,12.412141999251896,3999.0,石川県金沢市香林坊2-12-18 ZOINEビル 1F,石川県金沢市香林坊1-1-1 大和香林坊店 8F,https://tabelog.com/ishikawa/A1701/A170101/17003871/
17007893,ゑびすや 香林坊大和店,金沢市 / お好み焼き、たい焼き?大判焼き,3.03,28,10.202906364859016,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 8F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17007893/
17010566,ハム&ゴー コーヒーアンドストック 香林坊アトリオ店,金沢市 / カフェ,3.28,53,13.08386767273082,1999.0,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,石川県金沢市香林坊1-1-1 香林坊アトリオ B1F,https://tabelog.com/ishikawa/A1701/A170101/17010566/
17012118,DEMEL 大和香林坊店,金沢市 / 洋菓子、ケーキ,3.01,9,6.930781129912078,1999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17012118/
17011733,金沢 うら田 香林坊大和店,金沢市 / 和菓子、大福,3.05,9,7.0228845336318395,999.0,石川県金沢市香林坊1-1-1 香林坊大和 B1F,石川県金沢市香林坊1-1-1 香林坊大和 B1F,https://tabelog.com/ishikawa/A1701/A170101/17011733/
17013036,梅の花plus 香林坊大和店,金沢市 / 豆腐料理、飲茶?点心、弁当,3.09,3,4.283649575860462,999.0,石川県金沢市香林坊1-2-16,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17013036/
17011539,浪花古市庵 香林坊大和店,金沢市 / 寿司、日本料理,3.01,4,4.844408116426641,999.0,石川県金沢市香林坊1-1-1 大和百貨店香林坊店 B1F,石川県金沢市香林坊1-1-1 大和百貨店香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17011539/
17007116,とんかつ まい泉 香林坊大和店,金沢市 / とんかつ、サンドイッチ、弁当,3.01,6,5.857189548656493,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17007116/
17013920,大友楼 香林坊大和店,金沢市 / 惣菜?デリ,3.0,1,2.0794415416798357,999.0,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,石川県金沢市香林坊1-1-1 大和香林坊店 B1F,https://tabelog.com/ishikawa/A1701/A170101/17013920/
